,provincia_iso,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02
3934,P,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,2,0,3,2,0,4,11,11,9,16,31,27,30,27,44,53,38,34,35,36,30,39,41,29,26,28,32,32,31,31,20,24,13,18,33,30,29,24,9,23,33,46,22,13,22,15,14,25,10,5,6,13,4,4,7,2,12,6,12,4,7,0,1,2,4,1,2,3,2,13,4,4,1,1,3,8,4,1,4,0,0,4,3,0,3,3,5,1,2,0,1,1,0,1,0,5,2,0,2,1,1,0,3,0,4,0,0,0,1,0,2,1,1,0,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,2,1,2,1,0,4,3,3,3,3,0,2
3935,PM,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,4,2,4,6,7,5,12,10,7,14,17,36,42,42,61,71,85,88,82,81,105,97,62,91,82,66,84,73,40,36,37,66,48,84,35,47,25,30,26,19,23,11,21,15,15,15,10,9,14,11,14,10,18,11,8,5,10,11,0,3,5,3,5,10,3,4,1,4,4,2,4,0,7,8,7,10,7,16,0,5,5,12,6,5,3,2,1,3,4,3,13,5,1,2,4,7,3,6,1,2,3,2,1,3,4,6,2,4,3,4,4,5,8,3,1,1,5,3,1,9,5,5,9,3,4,3,4,3,3,4,1,4,6,8,7,4,7,11,13,7,6,7,4,15,13,13,21,24,22,44,31,45,45,63,48,38,29
3936,PO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,7,4,3,7,3,8,12,15,34,39,54,81,88,76,122,103,118,96,142,80,79,125,99,79,119,84,168,37,72,56,66,47,53,36,25,33,32,49,20,14,25,20,14,16,20,14,15,11,15,19,31,58,32,65,8,7,25,35,40,28,35,9,2,47,92,28,27,20,8,2,5,5,3,2,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3,0,0,0,0,1,1,2,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,4,0,2,1,1,2,1,4,3,5,5,1,4,6,5,5,3,5,12,7,3,3,2,2,5,9,5,4
3937,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,1,0,0,0,0,9,12,17,9,3,17,36,54,59,68,71,76,89,177,143,99,84,87,57,57,39,74,68,39,27,33,72,53,34,62,25,28,13,26,23,29,24,46,35,14,17,18,27,13,15,24,10,26,26,13,12,4,2,5,5,12,16,1,3,1,6,0,0,2,1,2,7,7,2,2,2,4,0,2,2,0,3,1,2,0,1,4,2,1,3,2,1,4,2,0,1,2,0,3,1,0,1,3,2,1,2,1,2,3,5,0,3,2,1,2,2,0,3,2,0,0,1,1,0,3,0,2,0,0,2,1,1,1,2,1,2,4,5,3,12,5,9,5,6,7,6,9,7,6,7,9,20,23,34,21
3938,SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,6,3,2,4,8,16,15,27,48,38,59,81,77,91,170,87,140,128,164,171,165,135,122,123,116,88,99,98,63,84,106,67,65,71,74,67,65,41,60,66,71,51,23,81,32,68,23,27,26,17,49,20,52,31,23,43,24,84,55,42,140,134,21,3,1,0,6,1,2,1,1,0,5,4,4,3,0,1,6,2,5,6,2,0,4,11,4,12,4,2,2,2,7,9,3,6,2,4,10,4,1,2,0,0,1,0,4,0,2,3,2,0,3,3,1,0,1,0,0,0,4,0,0,1,0,1,0,1,1,0,0,0,2,1,1,2,0,1,2,0,5,2,2,3,4,5,2,3,5,1,6,22,11,6
3939,SE,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,2,1,0,0,2,0,2,4,3,1,5,7,5,4,12,6,13,10,36,42,38,54,94,77,79,98,119,94,123,158,107,145,140,95,127,95,82,39,40,66,54,66,48,51,93,49,50,45,37,30,41,21,35,21,20,23,15,13,9,13,8,24,17,19,8,7,3,15,7,30,16,16,13,3,3,6,6,1,3,1,1,2,1,2,2,3,0,1,0,2,1,1,2,1,1,0,0,0,0,2,0,0,1,2,3,1,1,1,0,5,1,1,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,2,0,0,1,0,2,0,1,0,0,1,2,0,0,2,1,0,4,5,8,3,5,3,6,11,13,13,14,34,20,17,19,23,19,14,22,22,13
3940,SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,1,2,3,3,5,5,6,5,11,12,29,38,44,55,82,72,95,138,130,130,137,156,119,98,128,119,90,92,55,55,65,74,53,59,46,65,44,39,45,26,69,43,30,33,70,42,53,80,47,17,23,18,15,47,39,33,53,10,11,16,59,44,20,53,39,16,35,16,2,2,6,0,2,1,2,0,2,3,1,0,2,1,1,3,3,0,1,1,9,0,1,4,1,0,0,0,0,1,7,1,3,2,2,3,3,3,0,0,1,3,2,0,0,2,0,3,8,4,2,4,2,0,5,2,2,4,2,3,0,2,2,2,1,2,1,0,1,2,0,1,1,1,4,2,0,1,1,1,0,1,2,8,1,3,8,2,1
3941,SO,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3,2,7,4,7,9,8,22,18,20,46,45,58,72,79,84,69,82,90,90,44,63,47,66,39,41,28,29,36,28,38,34,29,36,23,44,40,40,32,55,23,8,103,75,20,31,17,30,38,15,36,23,23,30,9,12,17,55,22,47,28,33,5,10,2,0,0,0,1,2,0,1,1,2,3,1,1,0,0,4,3,3,7,0,2,3,0,5,1,0,10,4,0,7,2,4,1,1,4,3,8,3,4,2,0,1,0,2,1,1,4,0,1,4,3,0,0,1,1,0,3,2,0,1,0,0,1,3,1,2,1,4,1,4,3,2,3,3,6,2,4,4,3,11,4,7,1,16,6,9,9,27,9,1
3942,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,5,3,7,5,10,10,23,33,39,46,69,81,75,93,87,86,77,112,74,75,113,65,76,66,70,49,56,49,59,66,52,55,41,31,85,43,35,50,53,34,39,33,20,17,21,21,10,7,15,8,9,3,5,6,2,3,2,4,7,4,8,5,1,2,1,1,1,0,1,2,4,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,1,1,1,1,1,8,1,0,1,2,2,4,0,2,2,4,2,6,2,2,1,3,3,7,3,2,6,2,10,21,18,16,19,15,22,13,25,41,34,35,41,71,67,17,44,32,25,44,49,28,37,49,30,44,45,28,21
3943,T,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,3,4,7,7,14,6,13,21,23,29,41,39,37,65,61,52,60,66,49,55,70,86,51,68,75,79,64,77,65,64,48,67,45,36,31,35,50,71,43,46,30,30,31,29,34,22,16,11,14,9,15,10,15,2,3,9,5,8,6,7,3,2,3,1,1,4,2,5,6,5,2,9,1,4,6,3,2,0,6,10,1,0,0,4,2,2,5,4,1,2,4,4,4,6,1,2,3,0,1,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,5,5,4,7,6,9,6,13,13,11,17,14,14,21,21,20,21,25,29,23,27,29,29,35,38,30,35,23,36,27,49,31,40,26,18
3944,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,4,5,5,8,6,10,10,12,11,21,20,10,22,24,13,21,19,14,26,23,24,14,17,22,15,22,15,16,10,16,23,13,12,11,4,6,2,6,4,2,3,1,2,1,4,2,2,1,0,0,4,2,3,1,2,0,0,0,0,2,1,1,0,0,0,0,0,2,9,4,1,1,6,6,1,4,2,4,0,4,4,0,2,0,1,1,1,0,0,1,2,0,1,1,0,1,0,0,0,1,1,1,0,0,2,0,1,0,0,3,0,1,0,0,0,4,4,0,4,0,0,7,8,2,2,5,4,11,5,13,20,40,13,12,37,25,36,30,26,20,13,44,36,71,26,45,15,7,12
3945,TF,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0,1,0,2,5,1,7,4,5,9,6,11,15,21,15,19,34,29,35,41,66,57,54,83,62,79,53,87,63,51,66,46,37,40,46,24,32,37,22,46,18,11,24,13,9,21,7,19,8,10,6,11,8,10,11,6,8,11,11,6,7,2,8,2,2,3,3,3,1,8,3,0,1,1,0,1,1,2,0,2,2,3,2,1,4,1,3,6,2,4,1,1,1,1,2,1,4,6,1,1,2,3,1,0,1,4,1,1,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,1,2,4,1,3,1,3,5,5,1,4,6,7,3,8,4,5,3,1,1,6,9,2
3946,TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,1,3,18,12,12,12,18,25,32,40,46,81,71,97,133,121,148,158,176,173,197,202,155,171,192,171,191,144,124,116,114,128,129,156,116,97,89,98,93,128,71,55,92,32,46,50,72,42,38,16,14,21,34,14,17,11,7,1,2,6,9,8,5,4,3,2,5,2,1,8,3,4,5,7,6,11,11,11,6,1,9,8,4,3,7,10,1,7,6,11,17,8,6,1,4,3,7,4,5,3,7,11,2,9,0,7,2,5,3,11,3,2,2,1,0,1,4,3,5,1,4,3,4,3,7,2,5,3,1,4,1,3,6,6,2,3,5,6,7,3,9,4,2,12,7,12,9,10,15,12,16,9,16,11,22,18,18
3947,V,3,2,0,4,0,1,1,1,0,0,2,1,1,0,0,3,0,3,0,0,3,1,0,3,5,7,5,10,17,7,22,19,22,19,24,44,49,62,104,164,153,203,263,268,261,336,293,282,226,276,223,180,262,167,210,143,178,113,114,157,85,132,107,121,79,68,116,106,93,104,85,72,56,45,46,92,81,114,109,50,33,71,66,72,90,60,13,27,61,65,47,44,52,22,8,6,9,3,4,4,1,7,9,5,7,5,3,4,5,6,3,3,9,3,8,3,3,8,4,4,5,4,10,18,8,6,6,7,6,2,4,3,9,7,3,1,8,9,4,4,9,3,6,3,8,3,4,10,7,4,12,10,12,18,9,5,4,13,19,17,19,25,21,10,28,38,41,38,48,54,44,61,48,66,61,87,86,49,79,99,107,118,99,80,36
3948,VA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,1,1,2,1,0,4,10,4,8,9,7,9,11,16,26,38,53,88,91,80,136,144,174,132,146,96,113,130,132,106,91,78,111,55,132,111,133,167,169,235,107,196,154,131,53,56,43,37,44,52,38,27,36,25,28,60,34,33,21,31,23,7,15,27,25,51,32,44,12,14,13,11,4,8,4,2,11,16,5,5,7,12,3,4,10,8,3,12,0,5,9,6,5,11,13,5,1,8,3,2,11,3,2,1,2,3,1,4,4,4,4,4,31,7,4,7,3,3,3,3,3,5,6,4,1,3,3,2,2,1,1,1,3,2,2,3,7,6,3,7,4,3,4,2,6,7,9,6,7,11,11,3,7,18,35,30,12,25,10,3
3949,VI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,2,1,1,4,7,9,8,25,16,26,40,36,48,43,54,61,48,61,95,85,104,137,147,136,166,144,182,108,173,107,93,99,104,96,99,65,61,68,82,36,52,46,70,25,33,28,24,28,28,20,11,9,10,4,11,13,7,6,12,9,3,6,4,6,2,0,1,6,2,1,6,7,9,1,3,0,2,3,4,0,5,6,3,5,3,6,2,4,8,4,3,5,1,0,1,4,0,2,2,3,0,3,5,3,3,2,4,3,5,2,0,1,2,2,1,7,2,0,0,2,2,2,2,2,5,2,3,1,2,3,5,0,2,3,2,2,0,8,6,5,2,5,6,0,4,9,12,11,11,6,9,11,5,15,12,15,8,18,22,23,24,23,32,19
3950,Z,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,3,1,1,2,0,0,3,4,6,11,6,14,9,13,16,29,30,35,53,61,88,83,102,118,118,136,122,182,149,130,218,143,142,110,161,106,80,95,84,115,99,77,69,70,82,75,85,75,64,49,40,66,41,63,52,58,55,31,39,64,87,24,16,18,14,53,67,26,32,11,15,15,16,30,29,6,8,3,4,6,6,12,4,6,2,6,7,9,7,5,7,4,3,5,5,6,4,10,2,3,5,6,6,4,4,6,2,3,6,1,3,1,2,1,0,3,3,8,6,2,7,6,12,20,13,10,27,8,10,8,10,14,24,11,22,43,52,52,67,109,153,148,239,296,366,403,388,439,493,487,496,588,295,295,239,242,331,250,187,187,357,1066,283
3951,ZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,4,5,8,2,6,10,9,17,14,25,16,28,26,26,28,33,24,26,24,30,27,22,22,10,7,17,10,31,16,43,17,32,43,16,16,22,19,12,6,6,14,9,8,9,6,5,9,9,6,5,11,3,1,6,15,18,7,19,21,24,11,6,6,2,1,1,0,2,1,15,8,2,0,0,1,2,0,1,1,0,0,0,2,1,2,2,1,0,0,1,0,2,2,0,0,0,2,1,1,3,0,0,0,0,0,1,1,1,0,1,3,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,3,3,8,3,3,4
